Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
2000;509.41;null;null;2000;748.99;2012;631.44;2005;83.58;2005;235.30;2005;794.32;null;null;2012;48.41;2007;323.84;2015;995.21;2012;40.51;null;null;null;null;2005;2393.67;2013;825.31;1999;413.44;2005;1235.22;null;null;2014;689.17;null;null;2013;387.71;2005;1273.08;
2001;660.54;null;null;2001;1055.74;2013;714.22;2006;62.37;2006;341.79;2006;924.82;null;null;2013;53.47;2008;176.76;2016;651.05;2013;32.44;null;null;null;null;2006;1952.29;2014;745.30;2000;140.52;2006;902.63;null;null;2015;1541.00;null;null;2014;115.18;2006;698.58;
2002;310.14;null;null;2002;459.57;2014;532.13;2007;85.78;2007;247.05;2007;899.89;null;null;null;null;2009;79.73;2017;1354.44;null;null;null;null;null;null;2007;2376.20;2015;1974.44;2001;230.46;2007;3280.37;null;null;2016;1137.74;null;null;2015;389.34;2007;2632.68;
2003;451.09;null;null;2003;767.55;2015;772.30;2008;62.37;2008;334.12;2008;1063.11;null;null;null;null;2010;203.78;2018;924.35;null;null;null;null;null;null;2008;2535.75;2016;799.93;2002;635.04;2008;3933.62;null;null;2017;2530.12;null;null;2016;448.58;2008;3248.04;
2004;397.35;null;null;2004;830.03;2016;527.38;2009;52.09;2009;263.95;2009;567.06;null;null;null;null;2011;117.84;2019;1529.26;null;null;null;null;null;null;2009;1292.83;2017;2271.49;2003;1716.78;2009;822.94;null;null;2018;2753.49;null;null;null;null;2009;372.73;
2005;290.22;null;null;2005;459.57;2017;560.18;2010;78.17;2010;308.20;2010;950.02;null;null;null;null;2013;86.45;null;null;null;null;null;null;null;null;2010;1513.80;null;null;2004;357.59;2010;981.84;null;null;null;null;null;null;null;null;2010;1473.91;
2006;431.31;null;null;2006;779.97;null;null;2011;49.01;2011;214.16;2011;393.86;null;null;null;null;2014;107.57;null;null;null;null;null;null;null;null;2011;784.33;null;null;2005;439.42;2011;290.17;null;null;null;null;null;null;null;null;2011;290.51;
2007;324.62;null;null;2007;530.76;null;null;2012;58.44;2012;205.66;2012;805.07;null;null;null;null;2015;165.00;null;null;null;null;null;null;null;null;2012;1774.73;null;null;2006;552.31;2012;229.95;null;null;null;null;null;null;null;null;2012;585.29;
2008;349.85;null;null;2008;733.60;null;null;2013;53.97;2013;204.72;2013;443.68;null;null;null;null;2016;125.08;null;null;null;null;null;null;null;null;2013;842.60;null;null;2007;1435.01;2013;373.14;null;null;null;null;null;null;null;null;2013;527.96;
2009;228.43;null;null;2009;368.64;null;null;2014;43.04;2014;155.79;2014;414.95;null;null;null;null;2017;169.71;null;null;null;null;null;null;null;null;2014;807.39;null;null;2008;1327.13;2014;72.82;null;null;null;null;null;null;null;null;2014;200.68;
2010;287.42;null;null;2010;574.39;null;null;2015;110.55;2015;585.25;2015;900.41;null;null;null;null;2018;100.25;null;null;null;null;null;null;null;null;2015;1170.45;null;null;2009;366.67;2015;1045.59;null;null;null;null;null;null;null;null;2015;473.30;
2011;228.43;null;null;2011;408.38;null;null;2016;61.41;2016;270.41;2016;680.77;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2016;690.12;null;null;2010;429.98;2016;303.28;null;null;null;null;null;null;null;null;2016;565.56;
2012;383.53;null;null;2012;539.43;null;null;2017;54.00;2017;358.37;2017;867.70;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2017;2308.37;null;null;2011;57.44;2017;1543.52;null;null;null;null;null;null;null;null;2017;1825.01;
2013;342.35;null;null;2013;636.57;null;null;2018;67.90;2018;224.66;2018;506.10;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2018;1229.60;null;null;2012;28.89;2018;2136.67;null;null;null;null;null;null;null;null;2018;1768.67;
2014;290.22;null;null;2014;490.65;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2013;112.31;null;null;null;null;null;null;null;null;null;null;null;null;
2015;414.35;null;null;2015;742.83;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2014;18.30;null;null;null;null;null;null;null;null;null;null;null;null;
2016;326.82;null;null;2016;494.30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2017;445.12;null;null;null;null;null;null;null;null;null;null;null;null;
2017;343.85;null;null;2017;612.36;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2018;531.81;null;null;null;null;null;null;null;null;null;null;null;null;
2018;318.79;null;null;2018;503.90;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
